web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680698254-11","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","04:30","Nubes dispersas","19°","17 km/h","60%","1016 hPa",""
"1680698254-12","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","05:00","Mayormente cubierto","20°","17 km/h","56%","1016 hPa",""
"1680698254-13","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","05:30","Parcialmente cubierto","19°","19 km/h","64%","1016 hPa",""
"1680698254-14","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","06:00","Nubes dispersas","19°","15 km/h","64%","1016 hPa",""
"1680698254-15","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","06:30","Parcialmente cubierto","19°","15 km/h","68%","1016 hPa",""
"1680698254-16","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","07:00","Mayormente cubierto","20°","17 km/h","64%","1016 hPa",""
"1680698254-17","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","07:30","Mayormente cubierto","20°","15 km/h","60%","1016 hPa",""
"1680698254-18","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","08:00","Parcialmente cubierto","19°","13 km/h","64%","1017 hPa",""
"1680698254-19","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","08:30","Parcialmente cubierto","20°","15 km/h","56%","1017 hPa",""
"1680698254-20","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","09:00","Parcialmente cubierto","21°","13 km/h","53%","1017 hPa",""
"1680698254-21","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","09:30","Parcialmente cubierto","21°","15 km/h","53%","1017 hPa",""
"1680698254-22","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","10:00","Nubes dispersas","21°","19 km/h","53%","1017 hPa",""
"1680698254-23","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","10:30","Nubes dispersas","22°","15 km/h","50%","1018 hPa",""
"1680698254-24","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","11:00","Nubes dispersas","23°","17 km/h","47%","1017 hPa",""
"1680698254-25","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","11:30","Nubes dispersas","23°","24 km/h","50%","1017 hPa",""
"1680698254-26","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","12:00","Nubes dispersas","23°","32 km/h","53%","1016 hPa",""
"1680698254-27","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","12:30","Nubes dispersas","24°","33 km/h","50%","1016 hPa",""
"1680698254-28","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","13:00","Nubes dispersas","23°","39 km/h","53%","1015 hPa",""
"1680698254-29","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","13:30","Nubes dispersas","23°","37 km/h","57%","1015 hPa",""
"1680698254-30","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","14:00","Nubes dispersas","23°","35 km/h","57%","1015 hPa",""
"1680698254-31","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","14:30","Nubes dispersas","23°","35 km/h","53%","1014 hPa",""
"1680698254-32","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","15:00","Nubes dispersas","24°","35 km/h","50%","1014 hPa",""
"1680698254-33","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","15:30","Nubes dispersas","24°","32 km/h","50%","1014 hPa",""
"1680698254-34","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","16:00","Nubes dispersas","23°","32 km/h","53%","1014 hPa",""
"1680698254-35","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","16:30","Nubes dispersas","23°","30 km/h","53%","1014 hPa",""
"1680698254-36","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","17:00","Nubes dispersas","23°","26 km/h","53%","1014 hPa",""
"1680698254-37","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","17:30","Parcialmente cubierto","22°","22 km/h","60%","1014 hPa",""
"1680698254-38","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","18:00","Parcialmente cubierto","22°","20 km/h","57%","1014 hPa",""
"1680698254-39","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","18:30","Parcialmente cubierto","22°","24 km/h","57%","1014 hPa",""
"1680698254-40","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","19:00","Parcialmente cubierto","21°","22 km/h","64%","1014 hPa",""
"1680698254-41","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","19:30","Parcialmente cubierto","21°","20 km/h","64%","1015 hPa",""
"1680698254-42","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","20:00","Mayormente cubierto","20°","22 km/h","78%","1015 hPa",""
"1680698254-43","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","20:30","Nubes dispersas","20°","17 km/h","78%","1015 hPa",""
"1680698254-44","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","21:00","Mayormente cubierto","19°","2 km/h","83%","1016 hPa",""
"1680698254-45","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","21:30","Mayormente cubierto","20°","9 km/h","78%","1016 hPa",""
"1680698254-46","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","22:00","Mayormente cubierto","20°","11 km/h","73%","1015 hPa",""
"1680698254-47","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","22:30","Llovizna","20°","9 km/h","78%","1016 hPa",""
"1680698254-48","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","23:00","Parcialmente cubierto","20°","7 km/h","78%","1016 hPa",""
"1680698254-49","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","23:30","Parcialmente cubierto","20°","9 km/h","73%","1015 hPa",""
"1680698257-50","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","00:00","Parcialmente cubierto","20°","13 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-51","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-52","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","00:30","Parcialmente cubierto","19°","7 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-53","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","01:00","Nubes dispersas","19°","11 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-54","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","01:30","Nubes dispersas","19°","7 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-55","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","02:00","Nubes dispersas","18°","7 km/h","77%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-56","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","02:30","Parcialmente cubierto","18°","4 km/h","77%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-57","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","03:00","Nubes dispersas","19°","6 km/h","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-58","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","03:30","Nubes dispersas","18°","7 km/h","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-59","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","04:00","Nubes dispersas","18°","En calma","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-60","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","04:30","Parcialmente cubierto","19°","13 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-61","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:00","Mayormente cubierto","19°","15 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-62","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:30","Mayormente cubierto","19°","15 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-63","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:45","Lluvia","18°","22 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-64","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","06:00","Lluvia","18°","20 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-65","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","06:30","Mayormente cubierto","18°","13 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-66","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","07:00","Mayormente cubierto","18°","7 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-67","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","07:30","Llovizna","18°","7 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-68","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:00","Mayormente cubierto","18°","7 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-69","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:30","Mayormente cubierto","19°","11 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-70","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:40","Llovizna","19°","15 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-71","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","09:00","Llovizna","18°","13 km/h","94%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-72","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","09:30","Parcialmente cubierto","20°","11 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-73","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","10:00","Parcialmente cubierto","21°","22 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-74","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","10:30","Parcialmente cubierto","22°","17 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-75","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","11:00","Parcialmente cubierto","20°","22 km/h","83%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-76","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","11:30","Parcialmente cubierto","22°","20 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-77","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","12:00","Parcialmente cubierto","23°","26 km/h","61%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-78","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","12:30","Parcialmente cubierto","24°","24 km/h","61%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-79","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","13:00","Nubes dispersas","24°","26 km/h","54%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-80","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","13:30","Nubes dispersas","24°","26 km/h","50%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-81","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","14:00","Nubes dispersas","24°","33 km/h","54%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-82","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","14:30","Nubes dispersas","24°","32 km/h","50%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-83","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","15:00","Nubes dispersas","24°","33 km/h","54%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-84","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","15:30","Nubes dispersas","24°","35 km/h","50%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-85","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","16:00","Nubes dispersas","23°","32 km/h","53%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-86","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","16:30","Nubes dispersas","23°","26 km/h","53%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-87","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","17:00","Nubes dispersas","22°","28 km/h","60%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-88","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","17:30","Llovizna","20°","24 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-89","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","18:00","Llovizna","20°","17 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-90","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","18:30","Parcialmente cubierto","20°","26 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-91","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","19:00","Nubes dispersas","20°","20 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-92","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","19:30","Nubes dispersas","20°","19 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-93","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","20:00","Nubes dispersas","20°","20 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-94","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","20:30","Parcialmente cubierto","20°","13 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-95","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","21:00","Nubes dispersas","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-96","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","21:30","Nubes dispersas","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-97","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","22:00","Nubes dispersas","19°","17 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-98","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","22:30","Parcialmente cubierto","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-99","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","23:00","Nubes dispersas","19°","15 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698257-100","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","23:30","Nubes dispersas","19°","11 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680698260-101","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","00:00","Parcialmente cubierto","19°","9 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-102","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-103","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","00:30","Parcialmente cubierto","18°","7 km/h","77%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-104","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","01:00","Parcialmente cubierto","18°","7 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-105","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","01:30","Parcialmente cubierto","18°","9 km/h","88%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-106","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","02:00","Parcialmente cubierto","19°","15 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-107","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","02:30","Mayormente cubierto","19°","9 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-108","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","03:00","Mayormente cubierto","19°","7 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-109","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","03:30","Mayormente cubierto","19°","7 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-110","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","04:00","Mayormente cubierto","19°","4 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-111","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","04:30","Parcialmente cubierto","19°","2 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-112","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","05:00","Parcialmente cubierto","18°","2 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-113","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","05:30","Parcialmente cubierto","18°","6 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-114","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","06:00","Mayormente cubierto","19°","9 km/h","78%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-115","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","06:30","Parcialmente cubierto","19°","6 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-116","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","07:00","Parcialmente cubierto","18°","7 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-117","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","07:30","Mayormente cubierto","19°","7 km/h","78%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-118","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","08:00","Mayormente cubierto","19°","7 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-119","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","08:30","Mayormente cubierto","20°","En calma","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-120","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","09:00","Llovizna","19°","19 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-121","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","09:30","Mayormente cubierto","19°","13 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-122","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","10:00","Mayormente cubierto","20°","15 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-123","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","10:30","Parcialmente cubierto","20°","19 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-124","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","11:00","Mayormente cubierto","21°","13 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-125","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","11:30","Mayormente cubierto","21°","17 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-126","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","12:00","Mayormente cubierto","21°","20 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-127","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","12:30","Mayormente cubierto","21°","19 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680698260-128","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","13:00","Mayormente cubierto","21°","17 km/h","69%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
