web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
1680018427-1,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,00:00,Nubes dispersas,20°,26 km/h,83%,1021 hPa,
1680018427-2,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,null,null,null,null,null,null,
1680018427-3,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,00:30,Parcialmente cubierto,20°,30 km/h,83%,1021 hPa,
1680018427-4,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,01:00,Parcialmente cubierto,20°,30 km/h,83%,1021 hPa,
1680018427-5,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,01:30,Parcialmente cubierto,20°,30 km/h,83%,1021 hPa,
1680018427-6,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,02:00,Parcialmente cubierto,20°,28 km/h,78%,1020 hPa,
1680018427-7,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,02:30,Parcialmente cubierto,20°,26 km/h,78%,1020 hPa,
1680018427-8,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,03:00,Parcialmente cubierto,20°,26 km/h,78%,1020 hPa,
1680018427-9,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,03:30,Parcialmente cubierto,19°,28 km/h,83%,1020 hPa,
1680018427-10,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,04:00,Parcialmente cubierto,19°,24 km/h,83%,1020 hPa,
1680018427-11,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,04:30,Nubes dispersas,19°,22 km/h,78%,1020 hPa,
1680018427-12,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,05:00,Parcialmente cubierto,19°,22 km/h,78%,1020 hPa,
1680018427-13,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,05:30,Mayormente cubierto,19°,20 km/h,78%,1020 hPa,
1680018427-14,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,06:00,Parcialmente cubierto,19°,24 km/h,78%,1020 hPa,
1680018427-15,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,06:30,Parcialmente cubierto,19°,24 km/h,78%,1021 hPa,
1680018427-16,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,07:00,Parcialmente cubierto,19°,26 km/h,78%,1021 hPa,
1680018427-17,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,07:30,Mayormente cubierto,19°,24 km/h,78%,1021 hPa,
1680018427-18,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,08:00,Mayormente cubierto,19°,24 km/h,78%,1021 hPa,
1680018427-19,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,08:30,Mayormente cubierto,20°,24 km/h,73%,1021 hPa,
1680018427-20,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,09:00,Mayormente cubierto,20°,30 km/h,73%,1021 hPa,
1680018427-21,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,09:30,Mayormente cubierto,21°,33 km/h,69%,1022 hPa,
1680018427-22,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,10:00,Mayormente cubierto,21°,33 km/h,69%,1022 hPa,
1680018427-23,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,10:30,Mayormente cubierto,22°,33 km/h,64%,1022 hPa,
1680018427-24,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,11:00,Mayormente cubierto,22°,35 km/h,64%,1023 hPa,
1680018427-25,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,11:30,Mayormente cubierto,22°,35 km/h,64%,1022 hPa,
1680018427-26,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,12:00,Mayormente cubierto,23°,35 km/h,61%,1022 hPa,
1680018427-27,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,12:30,Mayormente cubierto,22°,35 km/h,64%,1022 hPa,
1680018427-28,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,13:00,Parcialmente cubierto,22°,33 km/h,64%,1021 hPa,
1680018427-29,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,13:30,Nubes dispersas,22°,37 km/h,64%,1021 hPa,
1680018427-30,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,14:00,Nubes dispersas,23°,37 km/h,65%,1020 hPa,
1680018427-31,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,14:30,Nubes dispersas,22°,33 km/h,64%,1020 hPa,
1680018427-32,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,15:00,Nubes dispersas,22°,35 km/h,69%,1020 hPa,
1680018427-33,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,15:30,Nubes dispersas,22°,39 km/h,69%,1020 hPa,
1680018427-34,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,16:00,Nubes dispersas,22°,37 km/h,64%,1020 hPa,
1680018427-35,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,16:30,Parcialmente cubierto,22°,39 km/h,60%,1020 hPa,
1680018427-36,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,17:00,Nubes dispersas,22°,35 km/h,64%,1020 hPa,
1680018427-37,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,17:30,Nubes dispersas,21°,37 km/h,69%,1020 hPa,
1680018427-38,https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html,Domingo 1 Diciembre 2019,18:00,Nubes dispersas,20°,32 km/h,68%,1020 hPa,
